Line, Text, Length, Word, Foot, Half-line
1,"ἠ",long,1,1,hemi1,
1,"ὼς",long,1,1,hemi1,
1,"δ’ἐκ",long,2,2,hemi1,
1,"λε",short,3,2,hemi1,
1,"χέ",short,3,2,hemi1,
1,"ων",long,3,3,hemi1,
1,"παρ’",short,4,3,hemi2,
1,"ἀ",short,5,3,hemi2,
1,"γαυ",long,5,4,hemi2,
1,"οῦ",long,5,4,hemi2,
1,"Τι",long,6,5,hemi2,
1,"θω",long,6,5,hemi2,
1,"νοῖ",long,6,6,hemi2,
1,"ο",long,6,6,hemi2,
2,"ὄρ",long,1,1,hemi1,
2,"νυθ’,",short,1,1,hemi1,
2,"ἵν’",short,2,1,hemi1,
2,"ἀ",long,3,2,hemi1,
2,"θα",short,3,2,hemi1,
2,"νά",short,3,2,hemi1,
2,"τοι",long,3,3,hemi1,
2,"σι",short,3,3,hemi1,
2,"φό",short,4,3,hemi2,
2,"ως",long,4,4,hemi2,
2,"φέ",short,5,4,hemi2,
2,"ροι",short,5,4,hemi2,
2,"ἠ",long,6,5,hemi2,
2,"δὲ",short,6,5,hemi2,
2,"βρο",short,7,5,hemi2,
2,"τοῖ",long,7,6,hemi2,
2,"σι·",long,7,6,hemi2,
3,"Ζεὺς",long,1,1,hemi1,
3,"δ’Ἔ",short,2,1,hemi1,
3,"ρι",short,2,1,hemi1,
3,"δα",long,2,2,hemi1,
3,"προ",short,3,2,hemi1,
3,"ΐ",short,3,2,hemi1,
3,"αλ",long,3,3,hemi1,
3,"λε",short,3,3,hemi1,
3,"θο",short,4,3,hemi2,
3,"ὰς",long,4,4,hemi2,
3,"ἐ",short,5,4,hemi2,
3,"πὶ",short,5,4,hemi2,
3,"νῆ",long,6,5,hemi2,
3,"ας",short,6,5,hemi2,
3,"Ἀ",short,7,5,hemi2,
3,"χαι",long,7,6,hemi2,
3,"ῶν",long,7,6,hemi2,
4,"ἀρ",long,1,1,hemi1,
4,"γα",short,1,1,hemi1,
4,"λέ",short,1,1,hemi1,
4,"ην,",long,1,2,hemi1,
4,"πο",short,2,2,hemi1,
4,"λέ",short,2,2,hemi1,
4,"μοι",long,2,3,hemi1,
4,"ο",short,2,3,hemi1,
4,"τέ",short,3,3,hemi2,
4,"ρας",long,3,4,hemi2,
4,"με",short,4,4,hemi2,
4,"τὰ",short,4,4,hemi2,
4,"χερ",long,5,5,hemi2,
4,"σὶν",short,5,5,hemi2,
4,"ἔ",short,6,5,hemi2,
4,"χου",long,6,6,hemi2,
4,"σαν.",long,6,6,hemi2,
5,"στῆ",long,1,1,hemi1,
5,"δ’ἐπ’",short,2,1,hemi1,
5,"Ὀ",short,3,1,hemi1,
5,"δυσ",long,3,2,hemi1,
5,"σῆ",long,3,2,hemi1,
5,"ος",long,3,3,hemi1,
5,"με",short,4,3,hemi2,
5,"γα",short,4,3,hemi2,
5,"κή",long,4,4,hemi2,
5,"τε",short,4,4,hemi2,
5,"ϊ",short,4,4,hemi2,
5,"νη",long,5,5,hemi2,
5,"ῒ",short,5,5,hemi2,
5,"με",short,6,5,hemi2,
5,"λαί",long,6,6,hemi2,
5,"νῃ,",long,6,6,hemi2,
6,"ἥ",long,1,1,hemi1,
6,"ῥ’ἐν",long,2,1,hemi1,
6,"μεσ",long,3,2,hemi1,
6,"σά",short,3,2,hemi1,
6,"τῳ",short,3,2,hemi1,
6,"ἔ",long,4,3,hemi1,
6,"σκε",short,4,3,hemi1,
6,"γε",short,5,3,hemi2,
6,"γω",long,5,4,hemi2,
6,"νέ",short,5,4,hemi2,
6,"μεν",short,5,4,hemi2,
6,"ἀμ",long,6,5,hemi2,
6,"φο",short,6,5,hemi2,
6,"τέ",short,6,5,hemi2,
6,"ρω",long,6,6,hemi2,
6,"σε,",long,6,6,hemi2,
7,"ἠ",long,1,1,hemi1,
7,"μὲν",short,1,1,hemi1,
7,"ἐπ’",short,2,1,hemi1,
7,"Αἴ",long,3,2,hemi1,
7,"αν",long,3,2,hemi1,
7,"τος",long,3,3,hemi1,
7,"κλι",short,4,3,hemi2,
7,"σί",short,4,3,hemi2,
7,"ας",long,4,4,hemi2,
7,"Τε",short,5,4,hemi2,
7,"λα",short,5,4,hemi2,
7,"μω",long,5,5,hemi2,
7,"νι",short,5,5,hemi2,
7,"ά",short,5,5,hemi2,
7,"δα",long,5,6,hemi2,
7,"ο",long,5,6,hemi2,
8,"ἠδ’",long,1,1,hemi1,
8,"ἐπ’",short,2,1,hemi1,
8,"Ἀ",short,3,1,hemi1,
8,"χιλ",long,3,2,hemi1,
8,"λῆ",long,3,2,hemi1,
8,"ος,",long,3,3,hemi1,
8,"τοί",long,4,3,hemi2,
8,"ῥ’ἔσ",long,5,4,hemi2,
8,"χα",short,5,4,hemi2,
8,"τα",short,5,4,hemi2,
8,"νῆ",long,6,5,hemi2,
8,"ας",short,6,5,hemi2,
8,"ἐ",short,7,5,hemi2,
8,"ΐ",long,7,6,hemi2,
8,"σας",long,7,6,hemi2,
9,"εἴ",long,1,1,hemi1,
9,"ρυ",short,1,1,hemi1,
9,"σαν",short,1,1,hemi1,
9,"ἠ",long,2,2,hemi1,
9,"νο",short,2,2,hemi1,
9,"ρέ",short,2,2,hemi1,
9,"ῃ",long,2,3,hemi1,
9,"πί",short,3,3,hemi2,
9,"συ",short,3,3,hemi2,
9,"νοι",long,3,4,hemi2,
9,"καὶ",long,4,4,hemi2,
9,"κάρ",long,5,5,hemi2,
9,"τε",short,5,5,hemi2,
9,"ϊ",short,5,5,hemi2,
9,"χει",long,6,6,hemi2,
9,"ρῶν",long,6,6,hemi2,
10,"ἔν",long,1,1,hemi1,
10,"θα",long,1,1,hemi1,
10,"στᾶσ’",long,2,2,hemi1,
10,"ἤ",long,3,2,hemi1,
10,"ϋ",long,3,3,hemi1,
10,"σε",short,3,3,hemi1,
10,"θε",short,4,3,hemi2,
10,"ὰ",long,4,4,hemi2,
10,"μέ",short,5,4,hemi2,
10,"γα",short,5,4,hemi2,
10,"τε",long,6,5,hemi2,
10,"δει",long,7,5,hemi2,
10,"νόν",long,7,6,hemi2,
10,"τε",long,8,6,hemi2,
11,"ὄρ",long,1,1,hemi1,
11,"θι’,",short,1,1,hemi1,
11,"Ἀ",short,2,1,hemi1,
11,"χαι",long,2,2,hemi1,
11,"οῖ",long,2,2,hemi1,
11,"σιν",long,2,3,hemi1,
11,"δὲ",short,3,3,hemi1,
11,"μέ",short,4,3,hemi2,
11,"γα",long,4,4,hemi2,
11,"σθέ",short,5,4,hemi2,
11,"νος",short,5,4,hemi2,
11,"ἔμ",long,6,5,hemi2,
11,"βαλ’",short,6,5,hemi2,
11,"ἑ",short,7,5,hemi2,
11,"κά",long,7,6,hemi2,
11,"στῳ",long,7,6,hemi2,
12,"καρ",long,1,1,hemi1,
12,"δί",short,1,1,hemi1,
12,"ῃ",short,1,1,hemi1,
12,"ἄ",long,2,2,hemi1,
12,"λη",long,2,2,hemi1,
12,"κτον",long,2,3,hemi1,
12,"πο",short,3,3,hemi2,
12,"λε",short,3,3,hemi2,
12,"μί",long,3,4,hemi2,
12,"ζειν",long,3,4,hemi2,
12,"ἠ",long,4,5,hemi2,
12,"δὲ",short,4,5,hemi2,
12,"μά",short,5,5,hemi2,
12,"χεσ",long,5,6,hemi2,
12,"θαι.",long,5,6,hemi2,
13,"τοῖ",long,1,1,hemi1,
13,"σι",short,1,1,hemi1,
13,"δ’ἄ",short,2,1,hemi1,
13,"φαρ",long,2,2,hemi1,
13,"πό",short,3,2,hemi1,
13,"λε",short,3,2,hemi1,
13,"μος",long,3,3,hemi1,
13,"γλυ",short,4,3,hemi2,
13,"κί",short,4,3,hemi2,
13,"ων",long,4,4,hemi2,
13,"γέ",short,5,4,hemi2,
13,"νετ’",short,5,4,hemi2,
13,"ἠ",long,6,5,hemi2,
13,"ὲ",short,6,5,hemi2,
13,"νέ",short,7,5,hemi2,
13,"εσ",long,7,6,hemi2,
13,"θαι",long,7,6,hemi2,
14,"ἐν",long,1,1,hemi1,
14,"νηυ",long,2,1,hemi1,
14,"σὶ",long,2,2,hemi1,
14,"γλα",short,3,2,hemi1,
14,"φυ",short,3,2,hemi1,
14,"ρῇ",long,3,3,hemi1,
14,"σι",short,3,3,hemi1,
14,"φί",short,4,3,hemi2,
14,"λην",long,4,4,hemi2,
14,"ἐς",long,5,4,hemi2,
14,"πα",long,6,5,hemi2,
14,"τρί",short,6,5,hemi2,
14,"δα",short,6,5,hemi2,
14,"γαῖ",long,7,6,hemi2,
14,"αν.",long,7,6,hemi2,
15,"Ἀ",long,1,1,hemi1,
15,"τρε",short,1,1,hemi1,
15,"ΐ",short,1,1,hemi1,
15,"δης",long,1,2,hemi1,
15,"δ’ἐ",short,2,2,hemi1,
15,"βό",short,2,2,hemi1,
15,"η",long,2,3,hemi1,
15,"σεν",short,2,3,hemi1,
15,"ἰ",short,3,3,hemi2,
15,"δὲ",long,3,4,hemi2,
15,"ζών",long,4,4,hemi2,
15,"νυσ",long,4,5,hemi2,
15,"θαι",short,4,5,hemi2,
15,"ἄ",short,5,5,hemi2,
15,"νω",long,5,6,hemi2,
15,"γεν",long,5,6,hemi2,
16,"Ἀρ",long,1,1,hemi1,
16,"γεί",long,1,1,hemi1,
16,"ους·",long,1,2,hemi1,
16,"ἐν",long,2,2,hemi1,
16,"δ’αὐ",long,3,3,hemi1,
16,"τὸς",short,3,3,hemi1,
16,"ἐ",short,4,3,hemi2,
16,"δύ",long,4,4,hemi2,
16,"σε",short,4,4,hemi2,
16,"το",short,4,4,hemi2,
16,"νώ",long,5,5,hemi2,
16,"ρο",short,5,5,hemi2,
16,"πα",short,5,5,hemi2,
16,"χαλ",long,6,6,hemi2,
16,"κόν.",long,6,6,hemi2,
17,"κνη",long,1,1,hemi1,
17,"μῖ",long,1,1,hemi1,
17,"δας",long,1,2,hemi1,
17,"μὲν",long,2,2,hemi1,
17,"πρῶ",long,3,3,hemi1,
17,"τα",short,3,3,hemi1,
17,"πε",short,4,3,hemi2,
17,"ρὶ",long,4,4,hemi2,
17,"κνή",long,5,4,hemi2,
17,"μῃ",long,5,5,hemi2,
17,"σιν",short,5,5,hemi2,
17,"ἔ",short,6,5,hemi2,
17,"θη",long,6,6,hemi2,
17,"κε",long,6,6,hemi2,
18,"κα",long,1,1,hemi1,
18,"λὰς",long,1,1,hemi1,
18,"ἀρ",long,2,2,hemi1,
18,"γυ",short,2,2,hemi1,
18,"ρέ",short,2,2,hemi1,
18,"οι",long,2,3,hemi1,
18,"σιν",short,2,3,hemi1,
18,"ἐ",short,3,3,hemi2,
18,"πισ",long,3,4,hemi2,
18,"φυ",short,3,4,hemi2,
18,"ρί",short,3,4,hemi2,
18,"οις",long,3,5,hemi2,
18,"ἀ",short,4,5,hemi2,
18,"ρα",short,4,5,hemi2,
18,"ρυί",long,4,6,hemi2,
18,"ας·",long,4,6,hemi2,
19,"δεύ",long,1,1,hemi1,
