Line, Text, Length, Word, Foot, Half-line
1,"Αὐ",long,1,1,hemi1,
1,"τὰρ",short,1,1,hemi1,
1,"ἐ",short,2,1,hemi1,
1,"πεὶ",long,2,2,hemi1,
1,"κό",long,3,2,hemi1,
1,"σμη",long,3,3,hemi1,
1,"θεν",short,3,3,hemi1,
1,"ἅμ’",short,4,3,hemi2,
1,"ἡ",long,5,4,hemi2,
1,"γε",short,5,4,hemi2,
1,"μό",short,5,4,hemi2,
1,"νε",long,5,5,hemi2,
1,"σσιν",short,5,5,hemi2,
1,"ἕ",short,6,5,hemi2,
1,"κα",long,6,6,hemi2,
1,"στοι,",long,6,6,hemi2,
2,"Τρῶ",long,1,1,hemi1,
2,"ες",long,1,1,hemi1,
2,"μὲν",long,2,2,hemi1,
2,"κλα",long,3,2,hemi1,
2,"γγῇ",long,3,3,hemi1,
2,"τ’ἐ",short,4,3,hemi2,
2,"νο",short,4,3,hemi2,
2,"πῇ",long,4,4,hemi2,
2,"τ’ἴ",short,5,4,hemi2,
2,"σαν",short,5,4,hemi2,
2,"ὄ",long,6,5,hemi2,
2,"ρνι",long,6,5,hemi2,
2,"θες",long,6,6,hemi2,
2,"ὣς",long,7,6,hemi2,
3,"ἠ",long,1,1,hemi1,
3,"ΰ",short,1,1,hemi1,
3,"τε",short,1,1,hemi1,
3,"περ",long,2,2,hemi1,
3,"κλα",long,3,2,hemi1,
3,"γγὴ",long,3,3,hemi1,
3,"γε",short,4,3,hemi2,
3,"ρά",short,4,3,hemi2,
3,"νων",long,4,4,hemi2,
3,"πέ",short,5,4,hemi2,
3,"λει",short,5,4,hemi2,
3,"οὐ",long,6,5,hemi2,
3,"ρα",short,6,5,hemi2,
3,"νό",short,6,5,hemi2,
3,"θι",long,6,6,hemi2,
3,"πρό·",long,7,6,hemi2,
4,"αἵ",long,1,1,hemi1,
4,"τ’ἐ",short,2,1,hemi1,
4,"πεὶ",short,2,1,hemi1,
4,"οὖν",long,3,2,hemi1,
4,"χει",long,4,2,hemi1,
4,"μῶ",long,4,3,hemi1,
4,"να",short,4,3,hemi1,
4,"φύ",short,5,3,hemi2,
4,"γον",long,5,4,hemi2,
4,"καὶ",short,6,4,hemi2,
4,"ἀ",short,7,4,hemi2,
4,"θέ",long,7,5,hemi2,
4,"σφα",short,7,5,hemi2,
4,"τον",short,7,5,hemi2,
4,"ὄ",long,8,6,hemi2,
4,"μβρον",long,8,6,hemi2,
5,"κλα",long,1,1,hemi1,
5,"γγῇ",long,1,1,hemi1,
5,"ταί",long,2,2,hemi1,
5,"γε",short,3,2,hemi1,
5,"πέ",short,4,2,hemi1,
5,"το",long,4,3,hemi1,
5,"νται",short,4,3,hemi1,
5,"ἐπ’",short,5,3,hemi2,
5,"ὠ",long,6,4,hemi2,
5,"κε",short,6,4,hemi2,
5,"α",short,6,4,hemi2,
5,"νοῖ",long,6,5,hemi2,
5,"ο",short,6,5,hemi2,
5,"ῥο",short,7,5,hemi2,
5,"ά",long,7,6,hemi2,
5,"ων",long,7,6,hemi2,
6,"ἀ",long,1,1,hemi1,
6,"νδρά",short,1,1,hemi1,
6,"σι",short,1,1,hemi1,
6,"Πυ",long,2,2,hemi1,
6,"γμαί",long,2,2,hemi1,
6,"οι",long,2,3,hemi1,
6,"σι",short,2,3,hemi1,
6,"φό",short,3,3,hemi2,
6,"νον",long,3,4,hemi2,
6,"καὶ",long,4,4,hemi2,
6,"κῆ",long,5,5,hemi2,
6,"ρα",short,5,5,hemi2,
6,"φέ",short,6,5,hemi2,
6,"ρου",long,6,6,hemi2,
6,"σαι·",long,6,6,hemi2,
7,"ἠ",long,1,1,hemi1,
7,"έ",short,1,1,hemi1,
7,"ρι",short,1,1,hemi1,
7,"αι",long,1,2,hemi1,
7,"δ’ἄ",short,2,2,hemi1,
7,"ρα",short,2,2,hemi1,
7,"ταί",long,3,3,hemi1,
7,"γε",short,4,3,hemi1,
