Line, Text, Length, Word, Foot, Half-line
1,"Ἠ",long,1,1,hemi1,
1,"ὼς",long,1,1,hemi1,
1,"μὲν",long,2,2,hemi1,
1,"κρο",short,3,2,hemi1,
1,"κό",short,3,2,hemi1,
1,"πε",long,3,3,hemi1,
1,"πλος",short,3,3,hemi1,
1,"ἐ",short,4,3,hemi2,
1,"κί",long,4,4,hemi2,
1,"δνα",short,4,4,hemi2,
1,"το",short,4,4,hemi2,
1,"πᾶ",long,5,5,hemi2,
1,"σαν",short,5,5,hemi2,
1,"ἐπ’",short,6,5,hemi2,
1,"αἶ",long,7,6,hemi2,
1,"αν,",long,7,6,hemi2,
2,"Ζεὺς",long,1,1,hemi1,
2,"δὲ",short,2,1,hemi1,
2,"θε",short,3,1,hemi1,
2,"ῶν",long,3,2,hemi1,
2,"ἀ",short,4,2,hemi1,
2,"γο",short,4,2,hemi1,
2,"ρὴν",long,4,3,hemi1,
2,"ποι",long,5,3,hemi2,
2,"ή",long,5,4,hemi2,
2,"σα",short,5,4,hemi2,
2,"το",short,5,4,hemi2,
2,"τε",long,6,5,hemi2,
2,"ρπι",short,6,5,hemi2,
2,"κέ",short,6,5,hemi2,
2,"ραυ",long,6,6,hemi2,
2,"νος",long,6,6,hemi2,
3,"ἀ",long,1,1,hemi1,
3,"κρο",short,1,1,hemi1,
3,"τά",short,1,1,hemi1,
3,"τῃ",long,1,2,hemi1,
3,"κο",short,2,2,hemi1,
3,"ρυ",short,2,2,hemi1,
3,"φῇ",long,2,3,hemi1,
3,"πο",short,3,3,hemi2,
3,"λυ",short,3,3,hemi2,
3,"δει",long,3,4,hemi2,
3,"ρά",short,3,4,hemi2,
3,"δος",short,3,4,hemi2,
3,"Οὐ",long,4,5,hemi2,
3,"λύ",long,4,5,hemi2,
3,"μποι",long,4,6,hemi2,
3,"ο·",long,4,6,hemi2,
4,"αὐ",long,1,1,hemi1,
4,"τὸς",long,1,1,hemi1,
4,"δέ",long,2,2,hemi1,
4,"σφ’ἀ",short,3,2,hemi1,
4,"γό",short,3,2,hemi1,
4,"ρευ",long,3,3,hemi1,
4,"ε,",short,3,3,hemi1,
4,"θε",short,4,3,hemi2,
4,"οὶ",long,4,4,hemi2,
4,"δ’ὑ",short,5,4,hemi2,
4,"πὸ",short,5,4,hemi2,
4,"πά",long,6,5,hemi2,
4,"ντες",short,6,5,hemi2,
4,"ἄ",short,7,5,hemi2,
4,"κου",long,7,6,hemi2,
4,"ον·",long,7,6,hemi2,
5,"κέ",long,1,1,hemi1,Zeus
5,"κλυ",short,1,1,hemi1,Zeus
5,"τέ",short,1,1,hemi1,Zeus
5,"μευ",long,2,2,hemi1,Zeus
5,"πά",long,3,2,hemi1,Zeus
5,"ντές",long,3,3,hemi1,Zeus
5,"τε",short,4,3,hemi1,Zeus
5,"θε",short,5,3,hemi2,Zeus
5,"οὶ",long,5,4,hemi2,Zeus
5,"πᾶ",long,6,4,hemi2,Zeus
5,"σαί",long,6,5,hemi2,Zeus
5,"τε",short,7,5,hemi2,Zeus
5,"θέ",short,8,5,hemi2,Zeus
5,"αι",long,8,6,hemi2,Zeus
5,"ναι,",long,8,6,hemi2,Zeus
6,"ὄφρ’",long,1,1,hemi1,Zeus
6,"εἴ",long,2,1,hemi1,Zeus
6,"πω",long,2,2,hemi1,Zeus
6,"τά",short,3,2,hemi1,Zeus
6,"με",short,4,2,hemi1,Zeus
6,"θυ",long,5,3,hemi1,Zeus
6,"μὸς",short,5,3,hemi1,Zeus
6,"ἐ",short,6,3,hemi2,Zeus
6,"νὶ",long,6,4,hemi2,Zeus
6,"στή",long,7,4,hemi2,Zeus
6,"θε",long,7,5,hemi2,Zeus
6,"σσι",short,7,5,hemi2,Zeus
6,"κε",short,8,5,hemi2,Zeus
6,"λεύ",long,8,6,hemi2,Zeus
6,"ει.",long,8,6,hemi2,Zeus
7,"μή",long,1,1,hemi1,Zeus
7,"τέ",short,1,1,hemi1,Zeus
7,"τις",short,2,1,hemi1,Zeus
7,"οὖν",long,3,2,hemi1,Zeus
7,"θή",long,4,2,hemi1,Zeus
7,"λει",long,4,3,hemi1,Zeus
7,"α",short,4,3,hemi1,Zeus
7,"θε",short,5,3,hemi2,Zeus
7,"ὸς",long,5,4,hemi2,Zeus
7,"τό",short,6,4,hemi2,Zeus
7,"γε",short,7,4,hemi2,Zeus
7,"μή",long,8,5,hemi2,Zeus
7,"τέ",short,8,5,hemi2,Zeus
7,"τις",short,9,5,hemi2,Zeus
7,"ἄ",long,10,6,hemi2,Zeus
7,"ρσην",long,10,6,hemi2,Zeus
8,"πει",long,1,1,hemi1,Zeus
8,"ρά",long,1,1,hemi1,Zeus
8,"τω",long,1,2,hemi1,Zeus
8,"δι",short,2,2,hemi1,Zeus
8,"α",short,2,2,hemi1,Zeus
8,"κέ",long,2,3,hemi1,Zeus
8,"ρσαι",short,2,3,hemi1,Zeus
8,"ἐ",short,3,3,hemi2,Zeus
8,"μὸν",long,3,4,hemi2,Zeus
8,"ἔ",short,4,4,hemi2,Zeus
8,"πος,",short,4,4,hemi2,Zeus
8,"ἀλλ’",long,5,5,hemi2,Zeus
8,"ἅ",short,6,5,hemi2,Zeus
8,"μα",short,6,5,hemi2,Zeus
8,"πά",long,7,6,hemi2,Zeus
8,"ντες",long,7,6,hemi2,Zeus
9,"αἰ",long,1,1,hemi1,Zeus
9,"νεῖτ’,",long,1,1,hemi1,Zeus
9,"ὄ",long,2,2,hemi1,Zeus
9,"φρα",short,2,2,hemi1,Zeus
9,"τά",short,3,2,hemi1,Zeus
9,"χι",long,3,3,hemi1,Zeus
9,"στα",short,3,3,hemi1,Zeus
9,"τε",short,4,3,hemi2,Zeus
9,"λευ",long,4,4,hemi2,Zeus
9,"τή",long,4,4,hemi2,Zeus
9,"σω",long,4,5,hemi2,Zeus
9,"τά",short,5,5,hemi2,Zeus
9,"δε",short,5,5,hemi2,Zeus
9,"ἔ",long,6,6,hemi2,Zeus
9,"ργα.",long,6,6,hemi2,Zeus
10,"ὃν",long,1,1,hemi1,Zeus
10,"δ’ἂν",short,2,1,hemi1,Zeus
10,"ἐ",short,3,1,hemi1,Zeus
10,"γὼν",long,3,2,hemi1,Zeus
10,"ἀ",short,4,2,hemi1,Zeus
10,"πά",short,4,2,hemi1,Zeus
10,"νευ",long,4,3,hemi1,Zeus
10,"θε",short,4,3,hemi1,Zeus
10,"θε",short,5,3,hemi2,Zeus
10,"ῶν",long,5,4,hemi2,Zeus
10,"ἐ",short,6,4,hemi2,Zeus
10,"θέ",short,6,4,hemi2,Zeus
10,"λο",long,6,5,hemi2,Zeus
10,"ντα",short,6,5,hemi2,Zeus
10,"νο",short,7,5,hemi2,Zeus
10,"ή",long,7,6,hemi2,Zeus
10,"σω",long,7,6,hemi2,Zeus
11,"ἐ",long,1,1,hemi1,Zeus
11,"λθόντ’",long,1,1,hemi1,Zeus
11,"ἢ",long,2,2,hemi1,Zeus
11,"Τρώ",long,3,2,hemi1,Zeus
11,"ε",long,3,3,hemi1,Zeus
11,"σσιν",short,3,3,hemi1,Zeus
11,"ἀ",short,4,3,hemi2,Zeus
11,"ρη",long,4,4,hemi2,Zeus
11,"γέ",short,4,4,hemi2,Zeus
11,"μεν",short,4,4,hemi2,Zeus
11,"ἢ",long,5,5,hemi2,Zeus
11,"Δα",short,6,5,hemi2,Zeus
11,"να",short,6,5,hemi2,Zeus
11,"οῖ",long,6,6,hemi2,Zeus
11,"σι",long,6,6,hemi2,Zeus
12,"πλη",long,1,1,hemi1,Zeus
12,"γεὶς",long,1,1,hemi1,Zeus
12,"οὐ",long,2,2,hemi1,Zeus
12,"κα",short,3,2,hemi1,Zeus
12,"τὰ",short,3,2,hemi1,Zeus
12,"κό",long,4,3,hemi1,Zeus
12,"σμον",short,4,3,hemi1,Zeus
12,"ἐ",short,5,3,hemi2,Zeus
12,"λεύ",long,5,4,hemi2,Zeus
12,"σε",short,5,4,hemi2,Zeus
12,"ται",short,5,4,hemi2,Zeus
12,"Οὔ",long,6,5,hemi2,Zeus
12,"λυ",long,6,5,hemi2,Zeus
12,"μπον",long,6,6,hemi2,Zeus
12,"δέ·",long,7,6,hemi2,Zeus
13,"ἤ",long,1,1,hemi1,Zeus
13,"μιν",short,2,1,hemi1,Zeus
13,"ἑ",short,3,1,hemi1,Zeus
13,"λὼν",long,3,2,hemi1,Zeus
13,"ῥί",long,4,2,hemi1,Zeus
13,"ψω",long,4,3,hemi1,Zeus
13,"ἐς",long,5,3,hemi2,Zeus
13,"Τά",long,6,4,hemi2,Zeus
13,"ρτα",short,6,4,hemi2,Zeus
13,"ρον",short,6,4,hemi2,Zeus
13,"ἠ",long,7,5,hemi2,Zeus
13,"ε",short,7,5,hemi2,Zeus
13,"ρό",short,7,5,hemi2,Zeus
13,"ε",long,7,6,hemi2,Zeus
13,"ντα",long,7,6,hemi2,Zeus
14,"τῆ",long,1,1,hemi1,Zeus
14,"λε",short,1,1,hemi1,Zeus
14,"μάλ’,",short,2,1,hemi1,Zeus
14,"ἧ",long,3,2,hemi1,Zeus
14,"χι",short,3,2,hemi1,Zeus
14,"βά",short,4,2,hemi1,Zeus
14,"θι",long,4,3,hemi1,Zeus
14,"στον",short,4,3,hemi1,Zeus
14,"ὑ",short,5,3,hemi2,Zeus
14,"πὸ",long,5,4,hemi2,Zeus
14,"χθο",short,6,4,hemi2,Zeus
14,"νός",short,6,4,hemi2,Zeus
14,"ἐ",long,7,5,hemi2,Zeus
14,"στι",short,7,5,hemi2,Zeus
14,"βέ",short,8,5,hemi2,Zeus
14,"ρε",long,8,6,hemi2,Zeus
14,"θρον,",long,8,6,hemi2,Zeus
15,"ἔ",long,1,1,hemi1,Zeus
15,"νθα",short,1,1,hemi1,Zeus
15,"σι",short,2,1,hemi1,Zeus
15,"δή",long,2,2,hemi1,Zeus
15,"ρει",long,2,2,hemi1,Zeus
15,"αί",long,2,3,hemi1,Zeus
15,"τε",short,3,3,hemi1,Zeus
15,"πύ",short,4,3,hemi2,Zeus
15,"λαι",long,4,4,hemi2,Zeus
15,"καὶ",long,5,4,hemi2,Zeus
15,"χά",long,6,5,hemi2,Zeus
15,"λκε",short,6,5,hemi2,Zeus
15,"ος",short,6,5,hemi2,Zeus
15,"οὐ",long,7,6,hemi2,Zeus
15,"δός,",long,7,6,hemi2,Zeus
16,"τό",long,1,1,hemi1,Zeus
16,"σσον",short,1,1,hemi1,Zeus
16,"ἔ",short,2,1,hemi1,Zeus
16,"νερθ’",long,2,2,hemi1,Zeus
16,"Ἀ",short,3,2,hemi1,Zeus
16,"ΐ",short,3,2,hemi1,Zeus
16,"δεω",long,3,3,hemi1,Zeus
16,"ὅ",short,4,3,hemi1,Zeus
16,"σον",short,4,3,hemi1,Zeus
16,"οὐ",long,5,4,hemi1,Zeus
16,"ρα",short,5,4,hemi1,Zeus
16,"νός",short,5,4,hemi1,Zeus
16,"ἐστ’",long,6,5,hemi1,Zeus
