Line, Text, Length, Word, Foot, Half-line
1,"ἄλ",long,1,1,hemi1,
1,"λοι",long,1,1,hemi1,
1,"μὲν",long,2,2,hemi1,
1,"πα",short,3,2,hemi1,
1,"ρὰ",short,3,2,hemi1,
1,"νηυ",long,4,3,hemi1,
1,"σὶν",short,4,3,hemi1,
1,"ἀ",short,5,3,hemi2,
1,"ρι",long,5,4,hemi2,
1,"στῆ",long,5,4,hemi2,
1,"ες",long,5,5,hemi2,
1,"Πα",short,6,5,hemi2,
1,"να",short,6,5,hemi2,
1,"χαι",long,6,6,hemi2,
1,"ῶν",long,6,6,hemi2,
2,"εὗ",long,1,1,hemi1,
2,"δον",long,1,1,hemi1,
2,"παν",long,2,2,hemi1,
2,"νύ",short,2,2,hemi1,
2,"χι",short,2,2,hemi1,
2,"οι",long,2,3,hemi1,
2,"μα",short,3,3,hemi2,
2,"λα",short,3,3,hemi2,
2,"κῷ",long,3,4,hemi2,
2,"δεδ",long,4,4,hemi2,
2,"μη",long,4,5,hemi2,
2,"μέ",short,4,5,hemi2,
2,"νοι",short,4,5,hemi2,
2,"ὕπ",long,5,6,hemi2,
2,"νῳ·",long,5,6,hemi2,
3,"ἀλλ’",long,1,1,hemi1,
3,"οὐκ",long,2,1,hemi1,
3,"Ἀ",long,3,2,hemi1,
3,"τρε",short,3,2,hemi1,
3,"ΐ",short,3,2,hemi1,
3,"δην",long,3,3,hemi1,
3,"Ἀ",short,4,3,hemi2,
3,"γα",short,4,3,hemi2,
3,"μέμ",long,4,4,hemi2,
3,"νο",short,4,4,hemi2,
3,"να",short,4,4,hemi2,
3,"ποι",long,5,5,hemi2,
3,"μέ",short,5,5,hemi2,
3,"να",short,5,5,hemi2,
3,"λα",long,6,6,hemi2,
3,"ῶν",long,6,6,hemi2,
4,"ὕπ",long,1,1,hemi1,
4,"νος",short,1,1,hemi1,
4,"ἔ",short,2,1,hemi1,
4,"χε",long,2,2,hemi1,
4,"γλυ",short,3,2,hemi1,
4,"κε",short,3,2,hemi1,
4,"ρὸς",long,3,3,hemi1,
4,"πολ",long,4,3,hemi2,
4,"λὰ",long,4,4,hemi2,
4,"φρε",short,5,4,hemi2,
4,"σὶν",short,5,4,hemi2,
4,"ὁρ",long,6,5,hemi2,
4,"μαί",long,6,5,hemi2,
4,"νον",long,6,6,hemi2,
4,"τα.",long,6,6,hemi2,
5,"ὡς",long,1,1,hemi1,
5,"δ’ὅτ’",short,2,1,hemi1,
5,"ἂν",short,3,1,hemi1,
5,"ἀσ",long,4,2,hemi1,
5,"τράπ",long,4,2,hemi1,
5,"τῃ",long,4,3,hemi1,
5,"πό",short,5,3,hemi2,
5,"σις",short,5,3,hemi2,
5,"Ἥ",long,6,4,hemi2,
5,"ρης",long,6,4,hemi2,
5,"ἠ",long,7,5,hemi2,
5,"ϋ",short,7,5,hemi2,
5,"κό",short,7,5,hemi2,
5,"μοι",long,7,6,hemi2,
5,"ο",long,7,6,hemi2,
6,"τεύ",long,1,1,hemi1,
6,"χων",long,1,1,hemi1,
6,"ἢ",long,2,2,hemi1,
6,"πο",short,3,2,hemi1,
6,"λὺν",short,3,2,hemi1,
6,"ὄμ",long,4,3,hemi1,
6,"βρον",short,4,3,hemi1,
6,"ἀ",short,5,3,hemi2,
6,"θέσ",long,5,4,hemi2,
6,"φα",short,5,4,hemi2,
6,"τον",short,5,4,hemi2,
6,"ἠ",long,6,5,hemi2,
6,"ὲ",short,6,5,hemi2,
6,"χά",short,7,5,hemi2,
6,"λα",long,7,6,hemi2,
6,"ζαν",long,7,6,hemi2,
7,"ἢ",long,1,1,hemi1,
7,"νι",short,2,1,hemi1,
7,"φε",short,2,1,hemi1,
7,"τόν,",long,2,2,hemi1,
7,"ὅ",short,3,2,hemi1,
7,"τε",short,3,2,hemi1,
7,"πέρ",long,4,3,hemi1,
7,"τε",short,5,3,hemi1,
7,"χι",short,6,3,hemi2,
7,"ὼν",long,6,4,hemi2,
7,"ἐ",short,7,4,hemi2,
7,"πά",short,7,4,hemi2,
7,"λυ",long,7,5,hemi2,
7,"νεν",short,7,5,hemi2,
7,"ἀ",short,8,5,hemi2,
7,"ρού",long,8,6,hemi2,
7,"ρας,",long,8,6,hemi2,
8,"ἠ",long,1,1,hemi1,
8,"έ",short,1,1,hemi1,
8,"πο",short,2,1,hemi1,
8,"θι",long,2,2,hemi1,
8,"πτο",short,3,2,hemi1,
8,"λέ",short,3,2,hemi1,
8,"μοι",long,3,3,hemi1,
8,"ο",short,3,3,hemi1,
8,"μέ",short,4,3,hemi2,
8,"γα",long,4,4,hemi2,
8,"στό",short,5,4,hemi2,
8,"μα",short,5,4,hemi2,
8,"πευ",long,6,5,hemi2,
8,"κε",short,6,5,hemi2,
8,"δα",short,6,5,hemi2,
8,"νοῖ",long,6,6,hemi2,
8,"ο,",long,6,6,hemi2,
9,"ὣς",long,1,1,hemi1,
9,"πυ",short,2,1,hemi1,
9,"κίν’",short,2,1,hemi1,
9,"ἐν",long,3,2,hemi1,
9,"στή",long,4,2,hemi1,
9,"θεσ",long,4,3,hemi1,
9,"σιν",short,4,3,hemi1,
9,"ἀ",short,5,3,hemi2,
9,"νε",long,5,4,hemi2,
9,"στε",short,5,4,hemi2,
9,"νά",short,5,4,hemi2,
9,"χιζ’",long,5,5,hemi2,
9,"Ἀ",short,6,5,hemi2,
9,"γα",short,6,5,hemi2,
9,"μέμ",long,6,6,hemi2,
9,"νων",long,6,6,hemi2,
